,SName,DName,CName,Enroll12,NumTstTakr,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,NumGE21,PctGE21,Year,Unnamed: 17
1807,Phoenix Charter Academy,Whitmore Union Elementary,Shasta,27.0,1.0,,,,,*,*,2018-19,
1808,Phoenix High (Continuation),Western Placer Unified,Placer,55.0,1.0,,,,,*,*,2018-19,
1809,Piedmont High,Piedmont City Unified,Alameda,205.0,111.0,30.0,32.0,29.0,29.0,108,97.30,2018-19,
1810,Piedmont Hills High,East Side Union High,Santa Clara,480.0,48.0,26.0,26.0,27.0,26.0,41,85.42,2018-19,
1811,Pierce High,Pierce Joint Unified,Colusa,103.0,16.0,19.0,17.0,19.0,19.0,5,31.25,2018-19,
1812,Piner High,Santa Rosa High,Sonoma,338.0,47.0,22.0,20.0,20.0,21.0,21,44.68,2018-19,
1813,Pinnacle Academy Charter - Independent Study,South Monterey County Joint Union High,Monterey,38.0,0.0,,,,,,,2018-19,
1814,Pinole Valley High,West Contra Costa Unified,Contra Costa,266.0,33.0,21.0,21.0,21.0,21.0,17,51.52,2018-19,
1815,Pioneer High,Whittier Union High,Los Angeles,315.0,88.0,18.0,17.0,20.0,18.0,26,29.55,2018-19,
1816,Pioneer High,San Jose Unified,Santa Clara,381.0,92.0,27.0,26.0,25.0,25.0,74,80.43,2018-19,
1817,Pioneer High,Woodland Joint Unified,Yolo,350.0,80.0,20.0,19.0,20.0,21.0,31,38.75,2018-19,
1818,Pioneer Valley High,Santa Maria Joint Union High,Santa Barbara,587.0,92.0,20.0,19.0,21.0,19.0,39,42.39,2018-19,
1819,Pittsburg Senior High,Pittsburg Unified,Contra Costa,716.0,155.0,19.0,19.0,19.0,19.0,45,29.03,2018-19,
1820,Pivot Charter School - North Bay,Oak Grove Union Elementary,Sonoma,60.0,0.0,,,,,,,2018-19,
1821,Pivot Charter School - San Diego II,San Marcos Unified,San Diego,25.0,0.0,,,,,,,2018-19,
1822,Pivot Charter School North Valley II,Chico Unified,Butte,25.0,0.0,,,,,,,2018-19,
1823,Pivot Charter School Riverside,Riverside County Office of Education,Riverside,22.0,1.0,,,,,*,*,2018-19,
1824,Pivot Online Charter - North Bay,Oak Grove Union Elementary,Sonoma,10.0,1.0,,,,,*,*,2018-19,
1825,Placer High,Placer Union High,Placer,343.0,64.0,24.0,22.0,23.0,23.0,39,60.94,2018-19,
1826,Pleasant Grove High,Elk Grove Unified,Sacramento,556.0,162.0,26.0,25.0,27.0,25.0,137,84.57,2018-19,
1827,Pleasant Valley High,Chico Unified,Butte,462.0,84.0,23.0,23.0,24.0,23.0,60,71.43,2018-19,
1828,Plumas Charter,Plumas Unified,Plumas,49.0,2.0,,,,,*,*,2018-19,
1829,Point Arena High,Point Arena Joint Union High,Mendocino,30.0,3.0,,,,,*,*,2018-19,
1830,Point Loma High,San Diego Unified,San Diego,456.0,157.0,26.0,25.0,24.0,25.0,114,72.61,2018-19,
1831,Polaris High (Alternative),Anaheim Union High,Orange,49.0,0.0,,,,,,,2018-19,
1832,Polytechnic High,Riverside Unified,Riverside,600.0,42.0,23.0,21.0,22.0,21.0,23,54.76,2018-19,
1833,Polytechnic High,Long Beach Unified,Los Angeles,1007.0,137.0,25.0,24.0,24.0,24.0,95,69.34,2018-19,
1834,Pomona High,Pomona Unified,Los Angeles,270.0,58.0,18.0,18.0,18.0,18.0,12,20.69,2018-19,
1835,Ponderosa High,El Dorado Union High,El Dorado,420.0,105.0,25.0,24.0,25.0,25.0,83,79.05,2018-19,
1836,Port of Los Angeles High,Los Angeles Unified,Los Angeles,202.0,38.0,22.0,21.0,22.0,21.0,25,65.79,2018-19,
1837,Porterville High,Porterville Unified,Tulare,435.0,88.0,19.0,18.0,19.0,19.0,30,34.09,2018-19,
1838,Portola Junior/Senior High,Plumas Unified,Plumas,35.0,2.0,,,,,*,*,2018-19,
1839,Potter Valley High,Potter Valley Community Unified,Mendocino,15.0,0.0,,,,,,,2018-19,
1840,Poway High,Poway Unified,San Diego,533.0,195.0,24.0,23.0,24.0,23.0,136,69.74,2018-19,
1841,Preuss School UCSD,San Diego Unified,San Diego,103.0,100.0,21.0,20.0,20.0,20.0,48,48.00,2018-19,
1842,Princeton Junior-Senior High,Princeton Joint Unified,Glenn,15.0,0.0,,,,,,,2018-19,
1843,Prospect Education Center,Porterville Unified,Tulare,25.0,0.0,,,,,,,2018-19,
1844,Prospect High,Campbell Union High,Santa Clara,386.0,65.0,26.0,26.0,25.0,26.0,51,78.46,2018-19,
1845,Prospects High (Alternative),Antioch Unified,Contra Costa,175.0,1.0,,,,,*,*,2018-19,
1846,Provisional Accelerated Learning Academy,San Bernardino City Unified,San Bernardino,100.0,0.0,,,,,,,2018-19,
1847,Public Safety Academy,Fairfield-Suisun Unified,Solano,79.0,3.0,,,,,*,*,2018-19,
1848,Public Safety Academy,San Bernardino City Unified,San Bernardino,43.0,0.0,,,,,,,2018-19,
1849,Public Service Community at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,141.0,13.0,,,,,*,*,2018-19,
1850,PUC CALS Middle School and Early College High,Los Angeles Unified,Los Angeles,58.0,52.0,16.0,16.0,17.0,17.0,8,15.38,2018-19,
1851,PUC Community Charter Middle and PUC Community Charter Early College High,Los Angeles Unified,Los Angeles,89.0,83.0,17.0,16.0,18.0,18.0,20,24.10,2018-19,
1852,PUC Early College Academy for Leaders and Scholars (ECALS),Los Angeles Unified,Los Angeles,81.0,68.0,15.0,15.0,17.0,17.0,10,14.71,2018-19,
1853,PUC Lakeview Charter High,Los Angeles Unified,Los Angeles,100.0,93.0,18.0,17.0,18.0,17.0,22,23.66,2018-19,
1854,PUC Nueva Esperanza Charter Academy,Los Angeles Unified,Los Angeles,0.0,22.0,16.0,15.0,17.0,16.0,1,4.55,2018-19,
1855,PUC Triumph Charter Academy and PUC Triumph Charter High,Los Angeles Unified,Los Angeles,116.0,89.0,16.0,15.0,17.0,17.0,10,11.24,2018-19,
1856,Puente Hills High,Hacienda la Puente Unified,Los Angeles,77.0,0.0,,,,,,,2018-19,
1857,Quartz Hill High,Antelope Valley Union High,Los Angeles,750.0,68.0,26.0,25.0,23.0,24.0,54,79.41,2018-19,
1858,Quincy Junior/Senior High,Plumas Unified,Plumas,41.0,2.0,,,,,*,*,2018-19,
1859,Ramon C. Cortines School of Visual and Performing Arts,Los Angeles Unified,Los Angeles,342.0,48.0,21.0,21.0,19.0,20.0,23,47.92,2018-19,
1860,Ramona High,Ramona City Unified,San Diego,352.0,80.0,23.0,22.0,23.0,23.0,54,67.50,2018-19,
1861,Ramona High,Riverside Unified,Riverside,543.0,127.0,20.0,18.0,19.0,19.0,41,32.28,2018-19,
1862,Rancho Alamitos High,Garden Grove Unified,Orange,424.0,12.0,,,,,*,*,2018-19,
1863,Rancho Bernardo High,Poway Unified,San Diego,597.0,189.0,25.0,25.0,26.0,25.0,151,79.89,2018-19,
1864,Rancho Buena Vista High,Vista Unified,San Diego,484.0,63.0,23.0,22.0,23.0,22.0,40,63.49,2018-19,
1865,Rancho Campana High,Oxnard Union High,Ventura,166.0,30.0,25.0,25.0,23.0,24.0,25,83.33,2018-19,
1866,Rancho Cotate High,Cotati-Rohnert Park Unified,Sonoma,343.0,38.0,20.0,18.0,20.0,20.0,14,36.84,2018-19,
1867,Rancho Cucamonga High,Chaffey Joint Union High,San Bernardino,798.0,77.0,23.0,22.0,22.0,22.0,41,53.25,2018-19,
1868,Rancho del Mar High (Continuation),Palos Verdes Peninsula Unified,Los Angeles,24.0,1.0,,,,,*,*,2018-19,
1869,Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,129.0,43.0,16.0,15.0,17.0,17.0,1,2.33,2018-19,
1870,Rancho Learning Center (Alternative),Arcadia Unified,Los Angeles,21.0,0.0,,,,,,,2018-19,
1871,Rancho Mirage High,Palm Springs Unified,Riverside,362.0,36.0,22.0,20.0,19.0,20.0,15,41.67,2018-19,
1872,Rancho Verde High,Val Verde Unified,Riverside,505.0,37.0,20.0,19.0,19.0,19.0,13,35.14,2018-19,
1873,REALM Charter,Berkeley Unified,Alameda,65.0,0.0,,,,,,,2018-19,
1874,Red Bluff High,Red Bluff Joint Union High,Tehama,320.0,151.0,20.0,19.0,20.0,20.0,63,41.72,2018-19,
1875,Redlands East Valley High,Redlands Unified,San Bernardino,545.0,92.0,23.0,22.0,23.0,22.0,56,60.87,2018-19,
1876,Redlands Senior High,Redlands Unified,San Bernardino,569.0,46.0,28.0,27.0,28.0,27.0,42,91.30,2018-19,
1877,Redondo Union High,Redondo Beach Unified,Los Angeles,709.0,267.0,24.0,24.0,23.0,24.0,191,71.54,2018-19,
1878,Redwood Academy of Ukiah,Ukiah Unified,Mendocino,23.0,0.0,,,,,,,2018-19,
1879,Redwood High,Tamalpais Union High,Marin,447.0,176.0,28.0,28.0,27.0,27.0,159,90.34,2018-19,
1880,Redwood High,Visalia Unified,Tulare,494.0,74.0,23.0,23.0,22.0,23.0,50,67.57,2018-19,
1881,Reedley High,Kings Canyon Joint Unified,Fresno,348.0,105.0,20.0,18.0,18.0,19.0,27,25.71,2018-19,
1882,Reedley Middle College High,Kings Canyon Joint Unified,Fresno,34.0,31.0,17.0,16.0,18.0,17.0,5,16.13,2018-19,
1883,Renaissance Arts Academy,Los Angeles Unified,Los Angeles,44.0,40.0,23.0,24.0,20.0,21.0,21,52.50,2018-19,
1884,Renaissance High School for the Arts,Long Beach Unified,Los Angeles,99.0,1.0,,,,,*,*,2018-19,
1885,Reseda Charter High,Los Angeles Unified,Los Angeles,349.0,18.0,20.0,20.0,20.0,21.0,7,38.89,2018-19,
1886,Rialto High,Rialto Unified,San Bernardino,611.0,93.0,19.0,18.0,20.0,20.0,34,36.56,2018-19,
1887,Richland Continuation High,Orange Unified,Orange,134.0,1.0,,,,,*,*,2018-19,
1888,Richmond High,West Contra Costa Unified,Contra Costa,386.0,70.0,18.0,16.0,17.0,17.0,10,14.29,2018-19,
1889,Ridgeview High,Kern High,Kern,666.0,54.0,19.0,17.0,18.0,19.0,16,29.63,2018-19,
1890,Rim of the World Senior High,Rim of the World Unified,San Bernardino,209.0,26.0,25.0,24.0,22.0,24.0,19,73.08,2018-19,
1891,Rio Americano High,San Juan Unified,Sacramento,385.0,84.0,25.0,26.0,25.0,24.0,66,78.57,2018-19,
1892,Rio Linda High,Twin Rivers Unified,Sacramento,318.0,28.0,20.0,19.0,20.0,20.0,12,42.86,2018-19,
1893,Rio Mesa High,Oxnard Union High,Ventura,549.0,37.0,22.0,22.0,22.0,22.0,21,56.76,2018-19,
1894,Rio Valley Charter,Lodi Unified,San Joaquin,136.0,5.0,,,,,*,*,2018-19,
1895,Rio Vista High,River Delta Joint Unified,Sacramento,106.0,22.0,19.0,19.0,18.0,19.0,7,31.82,2018-19,
1896,Ripon High,Ripon Unified,San Joaquin,190.0,37.0,25.0,23.0,23.0,23.0,31,83.78,2018-19,
1897,River City High,Washington Unified,Yolo,476.0,54.0,21.0,19.0,20.0,20.0,23,42.59,2018-19,
1898,River Oaks Academy,Ventura County Office of Education,Ventura,23.0,2.0,,,,,*,*,2018-19,
1899,River Springs Charter,Riverside County Office of Education,Riverside,213.0,10.0,,,,,*,*,2018-19,
1900,River Valley Charter,Lakeside Union Elementary,San Diego,50.0,15.0,28.0,26.0,26.0,27.0,15,100.00,2018-19,
1901,River Valley High,Yuba City Unified,Sutter,435.0,59.0,23.0,22.0,22.0,23.0,35,59.32,2018-19,
1902,Riverbank High,Riverbank Unified,Stanislaus,144.0,2.0,,,,,*,*,2018-19,
1903,Rivercrest Preparatory,Jurupa Unified,Riverside,31.0,1.0,,,,,*,*,2018-19,
1904,Riverdale High,Riverdale Joint Unified,Fresno,124.0,50.0,16.0,15.0,18.0,18.0,7,14.00,2018-19,
1905,Riverside County Education Academy - Indio,Riverside County Office of Education,Riverside,20.0,0.0,,,,,,,2018-19,
1906,Riverside Preparatory,Oro Grande,San Bernardino,117.0,17.0,18.0,18.0,17.0,19.0,5,29.41,2018-19,
1907,Riverside STEM Academy,Riverside Unified,Riverside,53.0,22.0,29.0,28.0,25.0,25.0,20,90.91,2018-19,
1908,Riverside Virtual,Riverside Unified,Riverside,14.0,3.0,,,,,*,*,2018-19,
1909,Robert F. Kennedy High,Delano Joint Union High,Kern,304.0,54.0,20.0,18.0,20.0,20.0,21,38.89,2018-19,
1910,Robert Fulton College Preparatory,Los Angeles Unified,Los Angeles,144.0,14.0,,,,,*,*,2018-19,
1911,Rocklin High,Rocklin Unified,Placer,499.0,164.0,25.0,25.0,25.0,24.0,124,75.61,2018-19,
1912,Rocklin Independent Charter Academy,Rocklin Unified,Placer,42.0,3.0,,,,,*,*,2018-19,
1913,Ronald E. McNair High,Lodi Unified,San Joaquin,438.0,62.0,19.0,18.0,20.0,19.0,26,41.94,2018-19,
1914,Ronald Reagan Academy,Dinuba Unified,Tulare,80.0,0.0,,,,,,,2018-19,
1915,Roosevelt High,Fresno Unified,Fresno,447.0,18.0,16.0,14.0,16.0,17.0,1,5.56,2018-19,
1916,Rosamond High Early College Campus,Southern Kern Unified,Kern,194.0,6.0,,,,,*,*,2018-19,
1917,Roseland Charter,Roseland,Sonoma,147.0,89.0,17.0,16.0,18.0,18.0,20,22.47,2018-19,
1918,Rosemead High,El Monte Union High,Los Angeles,511.0,51.0,26.0,25.0,25.0,24.0,40,78.43,2018-19,
1919,Rosemont High,Sacramento City Unified,Sacramento,300.0,32.0,21.0,19.0,20.0,20.0,15,46.88,2018-19,
1920,Roseville High,Roseville Joint Union High,Placer,416.0,110.0,23.0,22.0,22.0,22.0,64,58.18,2018-19,
1921,Round Valley High,Round Valley Unified,Mendocino,21.0,0.0,,,,,,,2018-19,
1922,Royal High,Simi Valley Unified,Ventura,456.0,55.0,25.0,25.0,24.0,25.0,44,80.00,2018-19,
1923,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695.0,133.0,25.0,26.0,25.0,25.0,108,81.20,2018-19,
1924,Rubidoux High,Jurupa Unified,Riverside,350.0,74.0,17.0,17.0,17.0,18.0,14,18.92,2018-19,
1925,S.F. County Opportunity (Hilltop),San Francisco County Office of Education,San Francisco,14.0,1.0,,,,,*,*,2018-19,
1926,S.F. International High,San Francisco Unified,San Francisco,100.0,43.0,13.0,12.0,16.0,15.0,1,2.33,2018-19,
1927,Sacramento Charter High,Sacramento City Unified,Sacramento,151.0,144.0,17.0,16.0,17.0,17.0,25,17.36,2018-19,
1928,Saddleback High,Santa Ana Unified,Orange,383.0,109.0,18.0,16.0,19.0,18.0,26,23.85,2018-19,
1929,Sage Creek High,Carlsbad Unified,San Diego,307.0,103.0,27.0,28.0,27.0,26.0,92,89.32,2018-19,
1930,Saint Helena High,Saint Helena Unified,Napa,121.0,28.0,25.0,26.0,22.0,23.0,24,85.71,2018-19,
1931,Salinas High,Salinas Union High,Monterey,646.0,137.0,22.0,21.0,21.0,21.0,70,51.09,2018-19,
1932,Samueli Academy,Orange County Department of Education,Orange,119.0,26.0,21.0,21.0,20.0,20.0,12,46.15,2018-19,
1933,San Benito High,San Benito High,San Benito,744.0,118.0,21.0,20.0,21.0,21.0,52,44.07,2018-19,
1934,San Bernardino High,San Bernardino City Unified,San Bernardino,321.0,71.0,20.0,18.0,19.0,19.0,22,30.99,2018-19,
1935,San Clemente High,Capistrano Unified,Orange,808.0,310.0,26.0,26.0,25.0,25.0,264,85.16,2018-19,
1936,San Diego Business/Leadership,San Diego Unified,San Diego,100.0,6.0,,,,,*,*,2018-19,
1937,San Diego International Studies,San Diego Unified,San Diego,286.0,99.0,25.0,24.0,23.0,24.0,70,70.71,2018-19,
1938,San Diego Metro Career and Tech,San Diego Unified,San Diego,38.0,4.0,,,,,*,*,2018-19,
1939,San Diego Science and Technology,San Diego Unified,San Diego,157.0,19.0,21.0,20.0,19.0,20.0,6,31.58,2018-19,
1940,San Diego SCPA,San Diego Unified,San Diego,165.0,13.0,,,,,*,*,2018-19,
1941,San Diego Virtual,Mountain Empire Unified,San Diego,153.0,5.0,,,,,*,*,2018-19,
1942,San Diego Workforce Innovation High,Borrego Springs Unified,San Diego,273.0,1.0,,,,,*,*,2018-19,
1943,San Dieguito HS Academy,San Dieguito Union High,San Diego,478.0,217.0,27.0,27.0,26.0,25.0,181,83.41,2018-19,
1944,San Dimas High,Bonita Unified,Los Angeles,324.0,42.0,24.0,23.0,24.0,23.0,27,64.29,2018-19,
1945,San Fernando Senior High,Los Angeles Unified,Los Angeles,458.0,75.0,18.0,17.0,18.0,18.0,16,21.33,2018-19,
1946,San Gabriel High,Alhambra Unified,Los Angeles,527.0,54.0,21.0,20.0,21.0,21.0,24,44.44,2018-19,
1947,San Gorgonio High,San Bernardino City Unified,San Bernardino,450.0,24.0,19.0,19.0,19.0,20.0,8,33.33,2018-19,
1948,San Jacinto High,San Jacinto Unified,Riverside,574.0,30.0,19.0,19.0,18.0,18.0,7,23.33,2018-19,
1949,San Jacinto Valley Academy,San Jacinto Unified,Riverside,66.0,4.0,,,,,*,*,2018-19,
1950,San Jose Conservation Corps Charter,East Side Union High,Santa Clara,214.0,0.0,,,,,,,2018-19,
1951,San Jose High,San Jose Unified,Santa Clara,234.0,5.0,,,,,*,*,2018-19,
1952,San Juan Choices Charter,San Juan Unified,Sacramento,74.0,3.0,,,,,*,*,2018-19,
1953,San Juan High,San Juan Unified,Sacramento,170.0,32.0,19.0,17.0,18.0,18.0,10,31.25,2018-19,
1954,San Juan Hills High,Capistrano Unified,Orange,580.0,199.0,26.0,26.0,25.0,25.0,158,79.40,2018-19,
1955,San Leandro High,San Leandro Unified,Alameda,662.0,78.0,22.0,21.0,21.0,22.0,44,56.41,2018-19,
1956,San Lorenzo High,San Lorenzo Unified,Alameda,346.0,48.0,20.0,19.0,20.0,19.0,15,31.25,2018-19,
1957,San Lorenzo Valley High,San Lorenzo Valley Unified,Santa Cruz,139.0,20.0,26.0,26.0,23.0,25.0,15,75.00,2018-19,
1958,San Luis Obispo County Community,San Luis Obispo County Office of Education,San Luis Obispo,33.0,1.0,,,,,*,*,2018-19,
1959,San Luis Obispo High,San Luis Coastal Unified,San Luis Obispo,370.0,139.0,26.0,25.0,25.0,24.0,113,81.29,2018-19,
1960,San Marcos High,San Marcos Unified,San Diego,748.0,244.0,25.0,24.0,23.0,24.0,172,70.49,2018-19,
1961,San Marcos Senior High,Santa Barbara Unified,Santa Barbara,535.0,106.0,25.0,25.0,24.0,25.0,81,76.42,2018-19,
1962,San Marin High,Novato Unified,Marin,266.0,107.0,26.0,25.0,25.0,24.0,81,75.70,2018-19,
1963,San Marino High,San Marino Unified,Los Angeles,269.0,95.0,28.0,29.0,29.0,27.0,86,90.53,2018-19,
1964,San Mateo High,San Mateo Union High,San Mateo,414.0,73.0,28.0,28.0,27.0,27.0,62,84.93,2018-19,
1965,San Pasqual Academy,San Diego County Office of Education,San Diego,32.0,3.0,,,,,*,*,2018-19,
1966,San Pasqual High,Escondido Union High,San Diego,518.0,98.0,22.0,20.0,21.0,21.0,48,48.98,2018-19,
1967,San Pasqual Valley High,San Pasqual Valley Unified,Imperial,42.0,6.0,,,,,*,*,2018-19,
1968,San Pedro Senior High,Los Angeles Unified,Los Angeles,480.0,49.0,21.0,20.0,20.0,20.0,23,46.94,2018-19,
1969,San Rafael High,San Rafael City High,Marin,296.0,84.0,24.0,23.0,23.0,22.0,52,61.90,2018-19,
1970,San Ramon Valley High,San Ramon Valley Unified,Contra Costa,502.0,282.0,27.0,27.0,26.0,26.0,244,86.52,2018-19,
1971,San Ysidro High,Sweetwater Union High,San Diego,702.0,139.0,18.0,17.0,19.0,18.0,39,28.06,2018-19,
1972,Sanger High,Sanger Unified,Fresno,734.0,61.0,21.0,19.0,20.0,20.0,26,42.62,2018-19,
1973,Santa Ana High,Santa Ana Unified,Orange,648.0,85.0,17.0,16.0,18.0,18.0,19,22.35,2018-19,
1974,Santa Barbara Senior High,Santa Barbara Unified,Santa Barbara,519.0,126.0,25.0,24.0,23.0,23.0,87,69.05,2018-19,
1975,Santa Clara High,Santa Clara Unified,Santa Clara,430.0,53.0,26.0,26.0,26.0,25.0,41,77.36,2018-19,
1976,Santa Clarita Valley International,William S. Hart Union High,Los Angeles,75.0,11.0,,,,,*,*,2018-19,
1977,Santa Cruz County Career Advancement Charter,Santa Cruz County Office of Education,Santa Cruz,106.0,0.0,,,,,,,2018-19,
1978,Santa Cruz High,Santa Cruz City High,Santa Cruz,268.0,50.0,26.0,25.0,26.0,25.0,44,88.00,2018-19,
1979,Santa Fe High,Whittier Union High,Los Angeles,521.0,114.0,21.0,20.0,20.0,20.0,52,45.61,2018-19,
1980,Santa Maria High,Santa Maria Joint Union High,Santa Barbara,588.0,93.0,18.0,17.0,19.0,19.0,25,26.88,2018-19,
1981,Santa Monica High,Santa Monica-Malibu Unified,Los Angeles,715.0,244.0,27.0,26.0,25.0,25.0,193,79.10,2018-19,
1982,Santa Paula High,Santa Paula Unified,Ventura,372.0,126.0,20.0,18.0,19.0,20.0,44,34.92,2018-19,
1983,Santa Rosa Academy,Menifee Union Elementary,Riverside,113.0,18.0,24.0,24.0,23.0,23.0,13,72.22,2018-19,
1984,Santa Rosa High,Santa Rosa High,Sonoma,458.0,87.0,27.0,25.0,25.0,24.0,71,81.61,2018-19,
1985,Santa Susana High,Simi Valley Unified,Ventura,252.0,26.0,28.0,27.0,25.0,26.0,26,100.00,2018-19,
1986,Santa Teresa High,East Side Union High,Santa Clara,529.0,67.0,26.0,26.0,25.0,25.0,54,80.60,2018-19,
1987,Santa Ynez Valley Union High,Santa Ynez Valley Union High,Santa Barbara,220.0,50.0,26.0,24.0,22.0,22.0,38,76.00,2018-19,
1988,Santana High,Grossmont Union High,San Diego,420.0,47.0,21.0,21.0,23.0,21.0,26,55.32,2018-19,
1989,Santee Education Complex,Los Angeles Unified,Los Angeles,384.0,24.0,18.0,16.0,17.0,17.0,3,12.50,2018-19,
1990,Santiago High,Garden Grove Unified,Orange,533.0,29.0,18.0,18.0,20.0,20.0,10,34.48,2018-19,
1991,Santiago High,Corona-Norco Unified,Riverside,813.0,179.0,23.0,22.0,22.0,22.0,111,62.01,2018-19,
1992,Saratoga High,Los Gatos-Saratoga Joint Union High,Santa Clara,321.0,121.0,31.0,32.0,31.0,30.0,117,96.69,2018-19,
1993,Saugus High,William S. Hart Union High,Los Angeles,546.0,121.0,25.0,23.0,24.0,23.0,91,75.21,2018-19,
1994,SAVA - Sacramento Academic and Vocational Academy,Twin Rivers Unified,Sacramento,7.0,1.0,,,,,*,*,2018-19,
1995,SAVA - Sacramento Academic and Vocational Academy - EGUSD,Elk Grove Unified,Sacramento,82.0,0.0,,,,,,,2018-19,
1996,SAVA - Sacramento Academic and Vocational Academy - SCUSD,Sacramento City Unified,Sacramento,93.0,0.0,,,,,,,2018-19,
1997,Savanna High,Anaheim Union High,Orange,482.0,42.0,20.0,20.0,19.0,19.0,16,38.10,2018-19,
1998,SCALE Leadership Academy,Acton-Agua Dulce Unified,Los Angeles,12.0,1.0,,,,,*,*,2018-19,
1999,Scholar Plus Online Learning,Perris Union High,Riverside,18.0,0.0,,,,,,,2018-19,
2000,School for Entrepreneurship and Technology,San Diego Unified,San Diego,56.0,3.0,,,,,*,*,2018-19,
2001,School for the Visual Arts and Humanities,Los Angeles Unified,Los Angeles,87.0,6.0,,,,,*,*,2018-19,
2002,School of Arts and Enterprise,SBE - The School of Arts and Enterprise,Los Angeles,75.0,8.0,,,,,*,*,2018-19,
2003,School of Business and Tourism at Contreras Learning Complex,Los Angeles Unified,Los Angeles,104.0,10.0,,,,,*,*,2018-19,
2004,School of Engineering & Sciences,Sacramento City Unified,Sacramento,58.0,2.0,,,,,*,*,2018-19,
2005,School of Extended Educational Options,Pomona Unified,Los Angeles,243.0,0.0,,,,,,,2018-19,
2006,School of Unlimited Learning,Fresno Unified,Fresno,66.0,0.0,,,,,,,2018-19,
2007,Schurr High,Montebello Unified,Los Angeles,619.0,40.0,20.0,21.0,21.0,21.0,20,50.00,2018-19,
2008,Science Technology Engineering Arts and Mathematics at Legacy High School Complex,Los Angeles Unified,Los Angeles,138.0,46.0,19.0,18.0,19.0,18.0,13,28.26,2018-19,
2009,Scotts Valley High,Scotts Valley Unified,Santa Cruz,192.0,60.0,27.0,26.0,25.0,25.0,52,86.67,2018-19,
2010,Scripps Ranch High,San Diego Unified,San Diego,542.0,203.0,28.0,28.0,27.0,27.0,183,90.15,2018-19,
2011,Seaside High,Monterey Peninsula Unified,Monterey,276.0,34.0,21.0,19.0,20.0,20.0,15,44.12,2018-19,
2012,Segerstrom High,Santa Ana Unified,Orange,457.0,480.0,17.0,16.0,18.0,17.0,106,22.08,2018-19,
2013,Selma High,Selma Unified,Fresno,425.0,12.0,,,,,*,*,2018-19,
2014,Selma Independent,Selma Unified,Fresno,39.0,0.0,,,,,,,2018-19,
2015,Sequoia High,Sequoia Union High,San Mateo,486.0,122.0,24.0,23.0,23.0,23.0,77,63.11,2018-19,
2016,Serra High,San Diego Unified,San Diego,369.0,35.0,23.0,23.0,23.0,23.0,21,60.00,2018-19,
2017,Serrano High,Snowline Joint Unified,San Bernardino,444.0,56.0,22.0,21.0,23.0,22.0,34,60.71,2018-19,
2018,Shadow Hills High,Desert Sands Unified,Riverside,528.0,34.0,18.0,17.0,17.0,18.0,7,20.59,2018-19,
2019,Shadow Ridge,Hesperia Unified,San Bernardino,22.0,1.0,,,,,*,*,2018-19,
2020,Shafter High,Kern High,Kern,372.0,44.0,21.0,19.0,20.0,20.0,16,36.36,2018-19,
2021,Shandon High,Shandon Joint Unified,San Luis Obispo,18.0,2.0,,,,,*,*,2018-19,
2022,Shasta Charter Academy,Shasta Union High,Shasta,73.0,6.0,,,,,*,*,2018-19,
2023,Shasta County Independent Study Charter,Shasta County Office of Education,Shasta,53.0,0.0,,,,,,,2018-19,
2024,Shasta High,Shasta Union High,Shasta,328.0,46.0,27.0,26.0,25.0,25.0,42,91.30,2018-19,
2025,Sheldon High,Elk Grove Unified,Sacramento,614.0,82.0,23.0,21.0,22.0,22.0,47,57.32,2018-19,
2026,Sherman Oaks Center for Enriched Studies,Los Angeles Unified,Los Angeles,232.0,47.0,25.0,25.0,23.0,24.0,31,65.96,2018-19,
2027,Sherman Thomas Charter High,Madera Unified,Madera,13.0,2.0,,,,,*,*,2018-19,
2028,SIATech,Vista Unified,San Diego,475.0,0.0,,,,,,,2018-19,
2029,SIATech Academy South,Acton-Agua Dulce Unified,Los Angeles,90.0,0.0,,,,,,,2018-19,
2030,Sierra Academy of Expeditionary Learning,Nevada Joint Union High,Nevada,44.0,1.0,,,,,*,*,2018-19,
2031,Sierra Charter,Fresno Unified,Fresno,78.0,0.0,,,,,,,2018-19,
2032,Sierra High,Manteca Unified,San Joaquin,333.0,35.0,24.0,23.0,22.0,22.0,26,74.29,2018-19,
2033,Sierra High,Sierra Unified,Fresno,91.0,14.0,,,,,*,*,2018-19,
2034,Sierra Pacific High,Hanford Joint Union High,Kings,175.0,10.0,,,,,*,*,2018-19,
2035,Sierra Vista Charter High,Tulare Joint Union High,Tulare,26.0,0.0,,,,,,,2018-19,
2036,Sierra Vista High,Baldwin Park Unified,Los Angeles,429.0,108.0,19.0,18.0,19.0,19.0,34,31.48,2018-19,
2037,Sierra Vista High (Alternative),Whittier Union High,Los Angeles,143.0,0.0,,,,,,,2018-19,
2038,Silver Creek High,East Side Union High,Santa Clara,592.0,50.0,25.0,25.0,26.0,25.0,41,82.00,2018-19,
2039,Silver Oak High Public Montessori Charter,Hayward Unified,Alameda,48.0,11.0,,,,,*,*,2018-19,
2040,Silver Valley High,Silver Valley Unified,San Bernardino,84.0,2.0,,,,,*,*,2018-19,
